ACCOUNT_KEY;PAYMENT;Country;Subregion;Region;DiscountLow;DiscountHight;ISO2;ISO3;PHONE_CODE;IRU;COUNTRY_PROVINCE_CODE
9000081104;345.0;Italy;South East Europe;South;;;IT;ITA;39;I;I
9000004532;345.0;Italy;South East Europe;South;;;IT;ITA;39;I;I
9000136434;345.0;France;France International;West;;;FR;FRA;33;F;F
9000067440;345.0;Italy;South East Europe;South;;;IT;ITA;39;I;I
9000150975;161.0;Netherlands;Netherlands;North;;;NL;NLD;31;NL;NL
9000036871;161.0;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000148377;57.5;Italy;South East Europe;South;;;IT;ITA;39;I;I
9000169497;345.0;France;France International;West;;;FR;FRA;33;F;F
9000142599;57.5;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000017991;241.5;Poland;Eastern Europe;East;;;PL;POL;48;PL;PL
9000149165;517.5;France;France International;West;;;FR;FRA;33;F;F
9000059328;57.5;Belgium;BeLux;North;;;BE;BEL;32;B;B
9000159008;345.0;France;France International;West;;;FR;FRA;33;F;F
9000150675;241.5;Romania;Eastern Europe;East;;;RO;ROU;40;RO;RO
9000077423;57.5;France;France International;West;;;FR;FRA;33;F;F
9000097159;322.0;Netherlands;Netherlands;North;;;NL;NLD;31;NL;NL
9000196630;57.5;Spain;Iberica;South;;;ES;ESP;34;E;E
9000198143;517.5;France;France International;West;;;FR;FRA;33;F;F
9000048231;322.0;Netherlands;Netherlands;North;;;NL;NLD;31;NL;NL
9000134547;161.0;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000081864;57.5;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000029497;57.5;Poland;Eastern Europe;East;;;PL;POL;48;PL;PL
9000112196;57.5;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000042271;241.5;Romania;Eastern Europe;East;;;RO;ROU;40;RO;RO
9000136417;161.0;Germany;Central Europe;East;;;DE;DEU;49;D;D
9000077761;57.5;Poland;Eastern Europe;East;;;PL;POL;48;PL;PL
